"Icon","Density","ExpectedPx","Path","Status","Width","Height","Bytes"
"ic_camera","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_camera.webp","OK","48","48","164"
"ic_camera","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_camera.webp","OK","72","72","216"
"ic_camera","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_camera.webp","OK","96","96","276"
"ic_card","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_card.webp","OK","36","36","120"
"ic_card","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_card.webp","OK","24","24","102"
"ic_card","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_card.webp","OK","48","48","138"
"ic_card","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_card.webp","OK","72","72","178"
"ic_card","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_card.webp","OK","96","96","226"
"ic_cart","hdpi","36","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-hdpi\ic_cart.webp","OK","36","36","126"
"ic_cart","mdpi","24","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-mdpi\ic_cart.webp","OK","24","24","100"
"ic_cart","xhdpi","48","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xhdpi\ic_cart.webp","OK","48","48","150"
"ic_cart","xxhdpi","72","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxhdpi\ic_cart.webp","OK","72","72","192"
"ic_cart","xxxhdpi","96","D:\RanD_Project_2025\Project_ChiKiPay_2025\ChiKiPay_Farsi_V6\app\src\main\res\drawable-xxxhdpi\ic_cart.webp","OK","96","96","238"
